#							
# CurriculumData.tsv for phase 2							Video와Book은0
# KitkitSchool on Apr 30, 2018							Book 중Comprehensive는해당숫자표시
#							math Egg Quiz 넣음
# Copyright (c) 2016 Enuma, Inc. All rights reserved.							명칭은kitkit courese sep v3와CurriculumData참고하여작성
# See LICENSE.md for more details.							Book A,B,C...은게임으로인지함
#							수정사항들
게임이름 공백 삭제							
#레벨데이터를변경하려면:							게임이름 대소문자 구분
# 우선Google Spreadsheet상에서이파일을수정한후에							multitrace -> LetterTracingCard
# File > Download as > Tab-separated values (.tsv)를선택합니다.							NumberTracingExt ->NumberTracingExt
# 다운로드한파일이름을CurriculumData.tsv으로변경합니다.							swahili 3 day 30이 잘못되어 삭제함
# "${XPRIZE_PATH}/Resources/”에tsv파일을복사해넣습니다.							category M이어야하는 부분 수정(math와 preschool2)
# "${XPRIZE_PATH}/Resources/Games/AnimalPuzzle"에는이미지파일을복사해넣습니다.							preschool2 카테고리레벨 2로 수정
#							
							
#level	#LanguageTag	#levelTitle	#category	#categoryLevel	#numDays		
#test							
#day	dayOrder	#numGames					
#game	#gameName	#gameLevel	#gameParam				


level	en-US	PreSchool	L	0	5
day	1	3
game	FeedingTime	23	x
game	DoubleDigit	13	x
game	MissingNumber	30	x
game	DoubleDigit	14	x
day	13	4
game	FeedingTime	24	x
game	DoubleDigit	14	x
game	MissingNumber	31	x
game	DoubleDigit	15	x
day	14	1
game	EggQuizMath	0	MiniTest_8_2
day	15	5
game	FeedingTime	19	x
game	Video	0	en_vdo_verticalsub3
game	ThirtyPuzzle	28	x
game	DoubleDigit	15	x
game	LineMatching	12	x
day	16	4
game	MissingNumber	32	x
game	DoubleDigit	15	x
game	ThirtyPuzzle	29	x
game	DoubleDigit	16	x
day	17	4
game	MissingNumber	33	x
game	DoubleDigit	16	x
game	ThirtyPuzzle	30	x
game	DoubleDigit	19	x
day	18	4
game	FeedingTime	16	x
game	DoubleDigit	18	x
game	MissingNumber	34	x
game	Video	0	en_vdo_verticalsub3
day	19	4
game	FeedingTime	17	x
game	DoubleDigit	19	x
game	MissingNumber	35	x
game	DoubleDigit	20	x
day	20	4
game	FeedingTime	18	x
game	DoubleDigit	21	x
game	MissingNumber	36	x
game	DoubleDigit	22	x
day	21	1
game	EggQuizMath	0	MiniTest_8_3
day	22	5
game	FeedingTime	19	x
game	Video	0	en_vdo_placevalues
game	DoubleDigit	22	x
game	MissingNumber	37	x
game	LineMatching	12	x
day	23	4
game	FeedingTime	23	x
game	DoubleDigit	23	x
game	DoubleDigit	24	x
game	MissingNumber	32	x
day	24	4
game	FeedingTime	23	x
game	DoubleDigit	24	x
game	ShapeMatching	10	x
game	DoubleDigit	25	x
day	25	4
game	FeedingTime	24	x
game	DoubleDigit	25	x
game	MissingNumber	33	x
game	DoubleDigit	26	x
day	26	4
game	FeedingTime	24	x
game	DoubleDigit	26	x
game	MissingNumber	34	x
game	DoubleDigit	27	x
day	27	4
game	DoubleDigit	27	x
game	MissingNumber	35	x
game	DoubleDigit	28	x
game	LineMatching	10	x
day	28	1
game	EggQuizMath	0	PostTest_8

